id,type,sku,name,status,featured,catalog_visibility,short_description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes.1,default_attributes,attributes.2,image_id/gallery_image_ids,attributes.3,downloads,downloads.1,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
,simple,117-11-549047,Aceite de Hígado de Bacalao de Mutt,publish,True,visible,,,,none,,instock,no,False,,,1,,310.0,310.0,,,"DPV, DPV35, Especie: Gato, Especie: Perro, Etapa: Todas las etapas, Marca: Mutt, Marca_Mutt, precio:regular, Raza: Todas las razas, Sabor: Bacalao, Tipo de empaque: Bote, Tipo de Premio: Aderezo",,,,,,"https://mascotopolis.com/wp-content/uploads/2024/07/product_image_1_117-11-549047.png, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_2_117-11-549047.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_3_117-11-549047.png",,,,,,,,
,simple,125-11-802183,"Spray suavizante desenredante para perro Wags & Wiggles, para un cepillado fácil y agradable. 355 mL",publish,True,visible,,,,none,,instock,no,False,,,1,,180.0,180.0,,,"Estética, Estética e higiene, Estética perros, Marca_Wags and Wiggles",,,,,,"https://mascotopolis.com/wp-content/uploads/2024/07/product_image_1_125-11-802183.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_2_125-11-802183.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_3_125-11-802183.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_4_125-11-802183.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_5_125-11-802183.jpg",,,,,,,,
,simple,GG843836,Stay! Pay de Manzana,publish,True,visible,,,,none,,instock,no,False,,,1,,365.0,365.0,,,"DPV, DPV35, Especie: Perro, marca:trick & treats, Marca_Trick & Treats Granel, precio:regular, tipo: galletas, uso:interactivo",,,,,,"https://mascotopolis.com/wp-content/uploads/2024/07/product_image_1_GG843836.png, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_2_GG843836.png, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_3_GG843836.png, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_4_GG843836.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_5_GG843836.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_6_GG843836.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_7_GG843836.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_8_GG843836.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_9_GG843836.png",,,,,,,,
,variable,N658153,Instinct Salmón - Para Perros,publish,True,visible,,,,none,,instock,no,False,,,1,,678.99,678.99,,,"Característica de salud: Cuidado de piel y pelo, Característica de salud: Cuidado digestivo, Categoría: Natural, Dieta especial: Sin gluten, Dieta Especial: Sin Granos, Dieta Especial: Sin Maiz Sin Trigo Sin Soya, DPV, DPV25, Especie: Perro, Etapa: Todas las etapas, Forma de comida: Seco, Marca: Instinct, Marca_Instinct Original, ori-dog, original, Raza: Todas las razas, Receta: Salmón, Tipo de Alimento: Seco (Croqueta)",,Peso,"4 lb, 20 lb",4 lb,1.0,"https://mascotopolis.com/wp-content/uploads/2024/07/product_image_1_N658153.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_3_N658153.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_4_N658153.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_5_N658153.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_6_N658153.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_7_N658153.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_8_N658153.jpg",,,,,,,,
,variation,N658160,Instinct Salmón - Para Perros - 20 lb,publish,False,visible,,,,none,,instock,no,False,,,1,,2525.0,2525.0,,,"Característica de salud: Cuidado de piel y pelo, Característica de salud: Cuidado digestivo, Categoría: Natural, Dieta especial: Sin gluten, Dieta Especial: Sin Granos, Dieta Especial: Sin Maiz Sin Trigo Sin Soya, DPV, DPV25, Especie: Perro, Etapa: Todas las etapas, Forma de comida: Seco, Marca: Instinct, Marca_Instinct Original, ori-dog, original, Raza: Todas las razas, Receta: Salmón, Tipo de Alimento: Seco (Croqueta)",,Peso,20 lb,,1.0,https://mascotopolis.com/wp-content/uploads/2024/07/product_image_2_N658160.jpg,,,,,,N658153,,
,simple,PM840965,Pato con Squeaker,publish,True,visible,,,,none,,instock,no,False,,,1,,205.0,205.0,,,"DPV, DPV30, Especie: Perro, marca:petit monsters, Marca_Petit Monsters Juguetes, tipo:con sonido, uso:interactivo",,,,,,"https://mascotopolis.com/wp-content/uploads/2024/07/product_image_1_PM840965.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_2_PM840965.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_3_PM840965.jpg",,,,,,,,
,variable,DL045628,Pechera de Malla Mediano,publish,True,visible,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,"Negro, Azul, Naranja, Verde, Rosa",Negro,1.0,"https://mascotopolis.com/wp-content/uploads/2024/07/product_image_1_DL045628.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_6_DL045628.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_7_DL045628.jpg",,,,,,,,
,variation,DL045642,Pechera de Malla Mediano - Azul,publish,False,visible,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Azul,,1.0,https://mascotopolis.com/wp-content/uploads/2024/07/product_image_2_DL045642.jpg,,,,,,DL045628,,
,variation,DL045673,Pechera de Malla Mediano - Naranja,publish,False,visible,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Naranja,,1.0,https://mascotopolis.com/wp-content/uploads/2024/07/product_image_3_DL045673.jpg,,,,,,DL045628,,
,variation,DL045680,Pechera de Malla Mediano - Verde,publish,False,visible,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Verde,,1.0,https://mascotopolis.com/wp-content/uploads/2024/07/product_image_4_DL045680.jpg,,,,,,DL045628,,
,variation,DL045703,Pechera de Malla Mediano - Rosa,publish,False,visible,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Rosa,,1.0,https://mascotopolis.com/wp-content/uploads/2024/07/product_image_5_DL045703.jpg,,,,,,DL045628,,
,variable,124-11-821453,"Pechera Para Perro Con Diseños Divertidos Full Print, De Fácil Transpiración y Muy Cómoda.  Color Amarillo",publish,True,visible,,,,none,,instock,no,False,,,1,,240.0,240.0,,,"Correas y collares: Correas, Especie: Perro, Marca_Jack Pet, tipo: pechera, tipo:correas para paseo",,Tamaño,"Extra Chica, Chica, Mediana, Grande",Extra Chica,1.0,"https://mascotopolis.com/wp-content/uploads/2024/07/product_image_1_124-11-821453.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_5_124-11-821453.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_6_124-11-821453.jpg, https://mascotopolis.com/wp-content/uploads/2024/07/product_image_7_124-11-821453.jpg",,,,,,,,
,variation,124-11-821958,"Pechera Para Perro Con Diseños Divertidos Full Print, De Fácil Transpiración y Muy Cómoda.  Color Amarillo - Chica",publish,False,visible,,,,none,,instock,no,False,,,1,,295.0,295.0,,,"Correas y collares: Correas, Especie: Perro, Marca_Jack Pet, tipo: pechera, tipo:correas para paseo",,Tamaño,Chica,,1.0,https://mascotopolis.com/wp-content/uploads/2024/07/product_image_2_124-11-821958.jpg,,,,,,124-11-821453,,
,variation,124-11-822450,"Pechera Para Perro Con Diseños Divertidos Full Print, De Fácil Transpiración y Muy Cómoda.  Color Amarillo - Mediana",publish,False,visible,,,,none,,instock,no,False,,,1,,365.0,365.0,,,"Correas y collares: Correas, Especie: Perro, Marca_Jack Pet, tipo: pechera, tipo:correas para paseo",,Tamaño,Mediana,,1.0,https://mascotopolis.com/wp-content/uploads/2024/07/product_image_3_124-11-822450.jpg,,,,,,124-11-821453,,
