id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
,simple,117-11-549047,Aceite de Hígado de Bacalao de Mutt,publish,True,visible,,"Descripción



Añadir sabor al plato de croquetas nunca ha sido tan saludable como con los aceites de Mutt. Recomienda a tus clientes utilizar los aceites 100% naturales de Mutt, elaborados con extractos puros de sardina, atún y bacalao. Puedes sugerirlos como aderezos de sus croquetas y ayudarán a agregar brillo y suavidad en su pelaje. Puedes usarlo tanto en perros como en gatos. Elaborado con 100% Aceite de Hígado de Bacalao silvestre de los mares fríos de Noruega. 
Beneficios:

Multivitamínico
Articulaciones más sanas
Repara piel dañada y reseca
Previene la caída excesiva de pelo

Excelente fuente de Omega 3



Presentación: 280 g
Ingredientes:
100% Aceite de Hígado de Bacalao, antioxidantes naturales.
Dosis:
Media cucharadita (una disposición 5 ml.)
Diaria por cada 10 kg. de peso del perro",,,none,,instock,no,False,,,1,, 310.00, 310.00,,,"DPV, DPV35, Especie: Gato, Especie: Perro, Etapa: Todas las etapas, Marca: Mutt, Marca_Mutt, precio:regular, Raza: Todas las razas, Sabor: Bacalao, Tipo de empaque: Bote, Tipo de Premio: Aderezo",,,,,,"product_image_1.jpg, product_image_2.jpg, product_image_3.jpg",,,,,,,,
,simple,125-11-802183,"Spray suavizante desenredante para perro Wags & Wiggles, para un cepillado fácil y agradable. 355 mL",publish,True,visible,,"Wags & Wiggles Smooth Detangling Spray alisa, desenreda y suaviza la piel y el pelaje de su perro para dejarlos con una sensación fresca y alegre



Desenreda y suaviza la piel.

Para todas las razas y etapas.
No contienen SLS, parabenos ni DEA.",,,none,,instock,no,False,,,1,, 180.00, 180.00,,,"Estética, Estética e higiene, Estética perros, Marca_Wags and Wiggles",,,,,,"product_image_1.jpg, product_image_2.jpg, product_image_3.jpg, product_image_4.jpg, product_image_5.jpg",,,,,,,,
,simple,GG843836,Stay! Pay de Manzana,publish,True,visible,,"Descripción



Las galletas gourmet para perros Trick & Treats, son 100% de grado humano y con super alimentos como la espirulina, cúrcuma y jengibre. 
Receta: Pay de ManzanaContenido: 1 kilo
Recomendado para: Razas Chicas
Caducidad
Las bolsas de 1kg desde producción cuentan con 18 meses al estar selladas, una vez vaciadas en el bote recomendamos su consumo en 4-5 meses (Mantén bien sellado tu bote y en un lugar fresco). Las bolsas de 100 gramos o más se recomienda su consumo en 1 mes.",,,none,,instock,no,False,,,1,, 365.00, 365.00,,,"DPV, DPV35, Especie: Perro, marca:trick & treats, Marca_Trick & Treats Granel, precio:regular, tipo: galletas, uso:interactivo",,,,,,"product_image_1.jpg, product_image_2.jpg, product_image_3.jpg, product_image_4.jpg, product_image_5.jpg, product_image_6.jpg, product_image_7.jpg, product_image_8.jpg, product_image_9.jpg",,,,,,,,
,variable,N658153,Instinct Salmón - Para Perros,publish,True,visible,,"Descripción



Instinct Salmón - Nutrición Libre de Granos, es alimento super premium para perros 100% natural. 
Con proteína de origen animal, sin granos, guiada por nuestra creencia en la receta original, cruda y sin gluten, con Salmón Real, libera el potencial de tu mascota.

La carne de Salmón es el primer ingrediente, lleno de proteína animal para músculos fuertes y delgados.
72% de ingredientes de origen animal y con aceites nutritivos; 28% de vegetales, frutas y otros ingredientes sanos; 0% grano.
Hecho sin: grano, papa, maíz, trigo, soja, harina de subproducto, colorantes artificiales o conservadores.
Niveles garantizados de probióticos vivos, omegas naturales y antioxidantes para la salud digestiva, piel y pelo sanos y salud inmunológica.
La única croqueta con recubierta de carne pura y real, carne cruda en cada bocado.

Análisis garantizado:



Proteina Cruda no menos de 37.5%
Grasa Cruda no menos de 20%
Fibra Cruda no más de 3.5%
Humedad no mas de 10%

Ingredientes:


Carne de salmón, harina de carne de pescado menhaden, harina de carne de pollo, pescado arenque, chicharos, aceite de canola (conservada con tocoferoles mixtos y ácido cítrico), harnina de carne de salmón, tapioca, pure de tomate deshidratado, sabor natural, aceite de salmón, arcilla montmorrillonita, sal, cloruro de potasio, zanahorias, manzanas, arándanos, cloruro de colina, vitaminas (l-ascorbilo-2-polifosfato, suplemento de vitamina e, suplemento de niacina, mononitrato de tiamina, pantotenato de calcio, suplemento de vitamina a, suplemento de riboflavina, clorhidrato de piridoxina, suplemento de vitamina b12, ácido fólico, suplemento de vitamina d3, biotina), minerales (proteinato de zinc, proteinato de hierro, proteinato de cobre, proteinato de manganeso, selenito de sodio, dihidroyoduro de etilendiamina), carne de pescado bacalao liofilizado, bacillus coagulans secos, extracto de romero.


Presentaciones: 4 lb y 20 lb",,,none,,instock,no,False,,,1,, 678.99, 678.99,,,"Característica de salud: Cuidado de piel y pelo, Característica de salud: Cuidado digestivo, Categoría: Natural, Dieta especial: Sin gluten, Dieta Especial: Sin Granos, Dieta Especial: Sin Maiz Sin Trigo Sin Soya, DPV, DPV25, Especie: Perro, Etapa: Todas las etapas, Forma de comida: Seco, Marca: Instinct, Marca_Instinct Original, ori-dog, original, Raza: Todas las razas, Receta: Salmón, Tipo de Alimento: Seco (Croqueta)",,Peso,"4 lb, 20 lb",4 lb,1,"product_image_1.jpg, product_image_2.jpg, product_image_3.jpg, product_image_4.jpg, product_image_5.jpg, product_image_6.jpg, product_image_7.jpg, product_image_8.jpg",,,,,,,,
,variation,N658160,Instinct Salmón - Para Perros - 20 lb,publish,False,visible,,,,,none,,instock,no,False,,,1,,2525.0,2525.0,,,"Característica de salud: Cuidado de piel y pelo, Característica de salud: Cuidado digestivo, Categoría: Natural, Dieta especial: Sin gluten, Dieta Especial: Sin Granos, Dieta Especial: Sin Maiz Sin Trigo Sin Soya, DPV, DPV25, Especie: Perro, Etapa: Todas las etapas, Forma de comida: Seco, Marca: Instinct, Marca_Instinct Original, ori-dog, original, Raza: Todas las razas, Receta: Salmón, Tipo de Alimento: Seco (Croqueta)",,Peso,20 lb,,1,product_image_2.jpg,,,,,,N658153,,
,simple,PM840965,Pato con Squeaker,publish,True,visible,,"Descripción



Petit Monsters es una marca 100% mexicana que cuenta con una linea de juguetes accesible y de calidad para perros. Divierte a tu perro con juguetes Petit Monsters y dale horas de diversión.
Juguete para perro Pato con squeaker marca Petit Monsters. El pato esta hecho de lona resistente y el squeaker que contiene en su cuerpo los mantiene cautivados durante la hora de juego. Ideal para perros medianos y pequeños.
Tamaño: 25 cm x 20 cm",,,none,,instock,no,False,,,1,, 205.00, 205.00,,,"DPV, DPV30, Especie: Perro, marca:petit monsters, Marca_Petit Monsters Juguetes, tipo:con sonido, uso:interactivo",,,,,,"product_image_1.jpg, product_image_2.jpg, product_image_3.jpg",,,,,,,,
,variable,DL045628,Pechera de Malla Mediano,publish,True,visible,,"Descripción




Las Pecheras de Malla de Dogline son suaves y acolchados, proporcionan comodidad y durabilidad excepcional. El interior acolchado proporciona el máximo confort y  suavidad; superficie lisa y hebilla del lanzamiento rápido.
Disponible en 5 vibrantes colores.



Incluye rayas reflectantes para paseos nocturnos
El material de malla ligera permite el flujo del aire y transpirabilidad
Lavable a máquina
Disponible en distintos colores brillantes



Talla M: 15"" - 16"" (38.1 - 40.64 cm)",,,none,,instock,no,False,,,1,, 375.00, 375.00,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,"Negro, Azul, Naranja, Verde, Rosa",Negro,1,"product_image_1.jpg, product_image_2.jpg, product_image_3.jpg, product_image_4.jpg, product_image_5.jpg, product_image_6.jpg, product_image_7.jpg",,,,,,,,
,variation,DL045642,Pechera de Malla Mediano - Azul,publish,False,visible,,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Azul,,1,product_image_2.jpg,,,,,,DL045628,,
,variation,DL045673,Pechera de Malla Mediano - Naranja,publish,False,visible,,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Naranja,,1,product_image_3.jpg,,,,,,DL045628,,
,variation,DL045680,Pechera de Malla Mediano - Verde,publish,False,visible,,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Verde,,1,product_image_4.jpg,,,,,,DL045628,,
,variation,DL045703,Pechera de Malla Mediano - Rosa,publish,False,visible,,,,,none,,instock,no,False,,,1,,375.0,375.0,,,"Característica de correa y cuello: Correa / arnés, Color: Azul, Color: Naranja, Color: Negro, Color: Rosa, Color: Verde, Correas y collares: Arneses, DPV, DPV32, Especie: Perro, Marca: Dogline, Marca_Dogline, Material: Malla, Raza: Mediana, Tipo de cierre: Velcro",,Color,Rosa,,1,product_image_5.jpg,,,,,,DL045628,,
,variable,124-11-821453,"Pechera Para Perro Con Diseños Divertidos Full Print, De Fácil Transpiración y Muy Cómoda.  Color Amarillo",publish,True,visible,,"Descripción:










Pechera Jack Pet Style para perro, tela en forma de panal para facilitar la transpiración y agregar comodidad, contornos suaves para evitar irritaciones y costuras en forma de ZigZag en lugares estratégicos.


Cintillas reflejantes en ambos lados, con herrajes de acero en color negro reforzados con punto de soldadora. Con diseños divertidos full print resistente para cualquier aventura.







Características:




 Tela en forma de panal para facilitar la transpiración y agregar comodidad.


 Pechera con diseño. Nunca se caerá o moverá la impresión.

Contornos suaves para evitar irritaciones.
Herraje de acero en color negro reforzado con punto de soldadura.",,,none,,instock,no,False,,,1,, 240.00, 240.00,,,"Correas y collares: Correas, Especie: Perro, Marca_Jack Pet, tipo: pechera, tipo:correas para paseo",,Tamaño,"Extra Chica, Chica, Mediana, Grande",Extra Chica,1,"product_image_1.jpg, product_image_2.jpg, product_image_3.jpg, product_image_4.jpg, product_image_5.jpg, product_image_6.jpg, product_image_7.jpg",,,,,,,,
,variation,124-11-821958,"Pechera Para Perro Con Diseños Divertidos Full Print, De Fácil Transpiración y Muy Cómoda.  Color Amarillo - Chica",publish,False,visible,,,,,none,,instock,no,False,,,1,,295.0,295.0,,,"Correas y collares: Correas, Especie: Perro, Marca_Jack Pet, tipo: pechera, tipo:correas para paseo",,Tamaño,Chica,,1,product_image_2.jpg,,,,,,124-11-821453,,
,variation,124-11-822450,"Pechera Para Perro Con Diseños Divertidos Full Print, De Fácil Transpiración y Muy Cómoda.  Color Amarillo - Mediana",publish,False,visible,,,,,none,,instock,no,False,,,1,,365.0,365.0,,,"Correas y collares: Correas, Especie: Perro, Marca_Jack Pet, tipo: pechera, tipo:correas para paseo",,Tamaño,Mediana,,1,product_image_3.jpg,,,,,,124-11-821453,,
,variation,124-11-822955,"Pechera Para Perro Con Diseños Divertidos Full Print, De Fácil Transpiración y Muy Cómoda.  Color Amarillo - Grande",publish,False,visible,,,,,none,,instock,no,False,,,1,,430.0,430.0,,,"Correas y collares: Correas, Especie: Perro, Marca_Jack Pet, tipo: pechera, tipo:correas para paseo",,Tamaño,Grande,,1,product_image_4.jpg,,,,,,124-11-821453,,
